stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route2B-0282_Fife Rd. at Elmira Rd.,0282,Fife Rd. at Elmira Rd.,,43.513936,-80.275264,,,,
Route2B-0283_Fife Rd. at Gateway Dr.,0283,Fife Rd. at Gateway Dr.,,43.513878,-80.275337,,,,
Route2B-0284_26 Fife Rd. at Coop,0284,26 Fife Rd. at Coop,,43.517774,-80.270061,,,,
Route2B-0285_Wellington St. W. at Wastewater Treatment Plant,0285,Wellington St. W. at Wastewater Treatment Plant,,43.522874,-80.267234,,,,
Route2B-0286_Stone Rd. W. at Scottsdale Dr.,0286,Stone Rd. W. at Scottsdale Dr.,,43.516108,-80.238548,,,,
Route2B-0287_372 Stone Rd. W.,0287,372 Stone Rd. W.,,43.517578,-80.236634,,,,
Route2B-0288_292 Stone Rd. W.,0288,292 Stone Rd. W.,,43.519475,-80.234214,,,,
Route2B-0289_Stone Rd. opposite Zellers,0289,Stone Rd. opposite Zellers,,43.521656,-80.2312633395195,,,,
Route2B-0290_95 Stone Rd. W.,0290,95 Stone Rd. W.,,43.524669,-80.227194,,,,
Route2B-0291_University Centre,0291,University Centre,,43.530139,-80.225671,,,,
Route2B-0292_Gordon St. at Vet College,0292,Gordon St. at Vet College,,43.531442,-80.231459,,,,
Route2B-0293_Gordon St. at Macdonald Stewart Art Centre,0293,Gordon St. at Macdonald Stewart Art Centre,,43.532842,-80.233321,,,,
Route2B-0294_Gordon St. at Dormie Lane,0294,Gordon St. at Dormie Lane,,43.536904,-80.239148,,,,
Route2B-0295_Gordon St. at Water St.,0295,Gordon St. at Water St.,,43.538124,-80.240880,,,,
Route2B-0296_Wellington St. at Wellington Plaza,0296,Wellington St. at Wellington Plaza,,43.541440,-80.244076,,,,
Route2B-0297_Wyndham St. at Fountain St.,0297,Wyndham St. at Fountain St.,,43.543369,-80.245192,,,,
Route2B-0298_Guelph Central Station,0298,Guelph Central Station,,43.545892,-80.249020,,,,
Route3B-0350_Guelph Central Station,0350,Guelph Central Station,,43.545180,-80.246050,,,,
Route3B-0351_Gordon St. at Nottingham St.,0351,Gordon St. at Nottingham St.,,43.541749,-80.247968,,,,
